Series	Time	Value
dsi-vm04 (tomcat utilitaire): Uptime	2019-06-06T00:00:00+02:00	1153468
FEX: Uptime	2019-06-06T00:00:00+02:00	14964931
ADE-SERVEUR: Uptime	2019-06-06T00:00:00+02:00	0
zstore10: Uptime	2019-06-06T00:00:00+02:00	15118905
CSIGES3 (AppWeb - Gripe): Uptime	2019-06-06T00:00:00+02:00	27307
dsi-prtg: Uptime	2019-06-06T00:00:00+02:00	15050063
dsi-tac: Uptime	2019-06-06T00:00:00+02:00	3907353
DSI60 (PAXTON Net2): Uptime	2019-06-06T00:00:00+02:00	8707394
DSI-VMWO: Uptime	2019-06-06T00:00:00+02:00	9640332
GMD-SMART (GMD Catia Smarteam): Uptime	2019-06-06T00:00:00+02:00	0
IF-ORACLE01 (IF TP Oracle Lamarre): Uptime	2019-06-06T00:00:00+02:00	0
DSI67 (Media4display): Uptime	2019-06-06T00:00:00+02:00	1786435
DSI-VM21 (Hebergement web 5717): Uptime	2019-06-06T00:00:00+02:00	4734926
IF-DEVHUB: Uptime	2019-06-06T00:00:00+02:00	10011142
DSI76 (admiges): Uptime	2019-06-06T00:00:00+02:00	14731251
dsi-captif-abcd: Uptime	2019-06-06T00:00:00+02:00	10954626
DSI32 (SQL Vizelia): Uptime	2019-06-06T00:00:00+02:00	15044132
DSI316: Uptime	2019-06-06T00:00:00+02:00	930901
DSI65 (TSE Cocktail): Uptime	2019-06-06T00:00:00+02:00	1055977
DSI-WO-TEST: Uptime	2019-06-06T00:00:00+02:00	7479510
DSI37 (OpenReports): Uptime	2019-06-06T00:00:00+02:00	3023674
dsi-etl-dev: Uptime	2019-06-06T00:00:00+02:00	897591
DSI-SYSLOG: Uptime	2019-06-06T00:00:00+02:00	0
DSI39 (VSphere 6.0): Uptime	2019-06-06T00:00:00+02:00	14422709
DSI-PGDM-SQL01 (Pedago MySQL): Uptime	2019-06-06T00:00:00+02:00	0
DSI-RED5SERVER2: Uptime	2019-06-06T00:00:00+02:00	0
DSI-VM09 (esup dematec): Uptime	2019-06-06T00:00:00+02:00	8539678
PDM-LSS: Uptime	2019-06-06T00:00:00+02:00	8179706
IF-ORACLE14  (IF TP Oracle Lamarre): Uptime	2019-06-06T00:00:00+02:00	13120808
DSI-PGDM-MSSQL1 (StdParts ST3 a conserver jusquen sept 2017 + BDD SimaPro 8.2): Uptime	2019-06-06T00:00:00+02:00	9268713
DSI180: Uptime	2019-06-06T00:00:00+02:00	0
DSI29 (Plone): Uptime	2019-06-06T00:00:00+02:00	3157526
DIRPAT-LEGIC (Controle acces LEGIC - Solution KABA): Uptime	2019-06-06T00:00:00+02:00	4460665
ZLDAP2: Uptime	2019-06-06T00:00:00+02:00	11314323
ade-test: Uptime	2019-06-06T00:00:00+02:00	7172635
DSI-RESEAU-SNMP: Uptime	2019-06-06T00:00:00+02:00	7386326
INSA-TSE-SRV1: Uptime	2019-06-06T00:00:00+02:00	1798199
DSI-NMS: Uptime	2019-06-06T00:00:00+02:00	0
RASS2: Uptime	2019-06-06T00:00:00+02:00	20337287
CENTREON: Uptime	2019-06-06T00:00:00+02:00	11486823
MATEIS9: Uptime	2019-06-06T00:00:00+02:00	2553272
LVASERV01 (Lic Flexlm LVA): Uptime	2019-06-06T00:00:00+02:00	14701185
VK1000-7.0-TEMPLATE: Uptime	2019-06-06T00:00:00+02:00	0
ZSMTP2 (Proxy IMAP): Uptime	2019-06-06T00:00:00+02:00	1814679
template zimbra: Uptime	2019-06-06T00:00:00+02:00	0
SERVIF-TV (IF app télévisions halls IF et SGM): Uptime	2019-06-06T00:00:00+02:00	7479464
GPS-ISO (TC TP Isorce : a voir): Uptime	2019-06-06T00:00:00+02:00	0
TELECOM (TC site web departement): Uptime	2019-06-06T00:00:00+02:00	18007525
SRVDOC300-01: Uptime	2019-06-06T00:00:00+02:00	10535829
WIN2012R2-TEMPLATE: Uptime	2019-06-06T00:00:00+02:00	0
UBUNTU-1804-TEMPLATE: Uptime	2019-06-06T00:00:00+02:00	0
6TM-WIKI: Uptime	2019-06-06T00:00:00+02:00	0
dsi-puppet5: Uptime	2019-06-06T00:00:00+02:00	2117381
DSI-VMRESTAURANT: Uptime	2019-06-06T00:00:00+02:00	0
insa-avaproxy302-migrate-insa: Uptime	2019-06-06T00:00:00+02:00	67446
